home_team,away_team,tournament,city,country,neutral,result
Botswana,Mozambique,Friendly,Maseru,Lesotho,TRUE,1
Russia,Scotland,FIFA World Cup,Málaga,Spain,TRUE,0
São Tomé and Príncipe,Angola,Friendly,São Tomé,São Tomé and Príncipe,FALSE,0
Grenada,Belize,FIFA World Cup qualification,St. George's,Grenada,FALSE,1
Luxembourg,Belgium,Friendly,Luxembourg,Luxembourg,FALSE,0
Tanzania,Kenya,Friendly,Dar es Salaam,Tanganyika,FALSE,1
Ecuador,Uruguay,Copa América,Guayaquil,Ecuador,FALSE,1
Czechoslovakia,Yugoslavia,Friendly,Prague,Czechoslovakia,FALSE,2
Peru,Argentina,Friendly,Lima,Peru,FALSE,0
Luxembourg,Belarus,UEFA Nations League,Luxembourg City,Luxembourg,FALSE,1
Kenya,Uganda,CECAFA Cup,Nairobi,Kenya,FALSE,2
Sri Lanka,Maldives,SAFF Cup,Kathmandu,Nepal,TRUE,1
Curaçao,Nicaragua,Friendly,Willemstad,Curaçao,FALSE,0
Saint Vincent and the Grenadines,Belize,CONCACAF Nations League,Saint George's,Saint Vincent and the Grenadines,FALSE,2
Russia,Greece,Friendly,Moscow,Soviet Union,FALSE,2
Norway,Finland,Nordic Championship,Oslo,Norway,FALSE,0
Kyrgyzstan,Kazakhstan,Friendly,Bishkek,Kyrgyzstan,FALSE,0
Martinique,Trinidad and Tobago,Friendly,Fort-de-France,Martinique,FALSE,1
Iran,Qatar,FIFA World Cup qualification,Tehran,Iran,FALSE,0
Mauritius,Réunion,Friendly,Curepipe,Mauritius,FALSE,0
Scotland,Poland,Friendly,Glasgow,Scotland,FALSE,0
South Korea,Turkey,Friendly,Bochum,Germany,TRUE,0
Greece,Bulgaria,Friendly,Athens,Greece,FALSE,0
Indonesia,Paraguay,Friendly,Jakarta,Indonesia,FALSE,1
Honduras,Brazil,Friendly,Miami Gardens,United States,TRUE,1
Honduras,Peru,Friendly,Houston,United States,TRUE,0
Tunisia,Netherlands,Friendly,Tunis,Tunisia,FALSE,0
France,Paraguay,FIFA World Cup,Lens,France,FALSE,2
Lithuania,Greece,FIFA World Cup qualification,Vilnius,Lithuania,FALSE,1
Argentina,Jamaica,Friendly,Mar del Plata,Argentina,FALSE,2
Sierra Leone,Equatorial Guinea,African Cup of Nations,Limbé,Cameroon,TRUE,1
China,Iraq,Asian Games,Bangkok,Thailand,TRUE,1
Colombia,Peru,FIFA World Cup qualification,Bogotá,Colombia,FALSE,2
Vietnam,Myanmar,Friendly,Ho Chi Minh City,Vietnam,FALSE,1
Cambodia,Syria,FIFA World Cup qualification,Phnom Penh,Cambodia,FALSE,1
Switzerland,Iceland,UEFA Euro qualification,Berne,Switzerland,FALSE,2
Jersey,Guernsey,Muratti Vase,Jersey,Jersey,FALSE,2
Libya,Egypt,African Cup of Nations qualification,Tripoli,Libya,FALSE,2
North Korea,Indonesia,Friendly,Pyongyang,North Korea,FALSE,2
Honduras,Chile,Friendly,San Pedro Sula,Honduras,FALSE,1
Burkina Faso,Namibia,Friendly,Niamey,Niger,TRUE,2
Nigeria,Ivory Coast,FIFA World Cup qualification,Lagos,Nigeria,FALSE,2
Mexico,Saint Kitts and Nevis,FIFA World Cup qualification,Monterrey,Mexico,FALSE,2
Mexico,Colombia,Friendly,Santa Clara,United States,TRUE,1
Sweden,England,Friendly,Solna,Sweden,FALSE,1
Gabon,Burkina Faso,Friendly,Libreville,Gabon,FALSE,2
United Arab Emirates,Bahrain,Gulf Cup,Muscat,Oman,TRUE,0
Poland,Romania,Friendly,Wrocław,Poland,FALSE,0
Turkey,Romania,Friendly,Ankara,Turkey,FALSE,0
Japan,South Korea,Dynasty Cup,Beijing,China PR,TRUE,1
Mozambique,Malawi,COSAFA Cup,Phokeng,South Africa,TRUE,0
Russia,Yugoslavia,Friendly,Moscow,Soviet Union,FALSE,2
Syria,Tunisia,Arab Cup,Beirut,Lebanon,TRUE,1
China PR,North Macedonia,Friendly,Suzhou,China PR,FALSE,2
Indonesia,Taiwan,Friendly,Jakarta,Indonesia,FALSE,1
Cape Verde,Mali,African Cup of Nations qualification,Praia,Cape Verde,FALSE,2
New Caledonia,New Zealand,Friendly,Nouméa,New Caledonia,FALSE,2
Argentina,Serbia,FIFA World Cup,Gelsenkirchen,Germany,TRUE,2
Cayman Islands,Jamaica,Friendly,George Town,Cayman Islands,FALSE,1
Belgium,Morocco,Friendly,Brussels,Belgium,FALSE,1
Tanzania,Rwanda,CECAFA Cup,Dar es Salaam,Tanzania,FALSE,1
Malaysia,Cambodia,AFF Championship,Songkhla,Thailand,TRUE,2
El Salvador,Panama,CCCF Championship,Guatemala,Guatemala,TRUE,1
South Africa,Ghana,Friendly,Bloemfontein,South Africa,FALSE,2
Angola,Madagascar,African Cup of Nations qualification,Lubango,Angola,FALSE,0
Iceland,Faroe Islands,Friendly,Akranes,Iceland,FALSE,2
Kazakhstan,Austria,UEFA Euro qualification,Astana,Kazakhstan,FALSE,0
Iraq,China PR,Friendly,Doha,Qatar,TRUE,2
Suriname,Haiti,CFU Caribbean Cup qualification,Couva,Trinidad and Tobago,TRUE,1
Liechtenstein,Austria,FIFA World Cup qualification,Vaduz,Liechtenstein,FALSE,1
United Arab Emirates,Lebanon,Friendly,Dubai,United Arab Emirates,FALSE,0
Netherlands,Sweden,Friendly,Amsterdam,Netherlands,FALSE,2
Burkina Faso,Mauritania,FIFA World Cup qualification,Ouagadougou,Burkina Faso,FALSE,2
Bulgaria,Finland,Friendly,Sofia,Bulgaria,FALSE,2
Republic of Ireland,Andorra,UEFA Euro qualification,Dublin,Republic of Ireland,FALSE,2
Netherlands,Ukraine,UEFA Euro,Amsterdam,Netherlands,FALSE,2
Donetsk PR,Luhansk PR,Friendly,Donetsk,Ukraine,FALSE,2
Egypt,Uganda,Friendly,Alexandria,Egypt,FALSE,2
Yugoslavia,Turkey,Friendly,Sarajevo,Yugoslavia,FALSE,2
Qatar,Iraq,Friendly,Doha,Qatar,FALSE,1
Cameroon,Malawi,FIFA World Cup qualification,Yaoundé,Cameroon,FALSE,2
Norway,Sweden,Friendly,Kristiania,Norway,FALSE,2
Ghana,Mali,Friendly,Libreville,Gabon,TRUE,0
Morocco,Senegal,FIFA World Cup qualification,Casablanca,Morocco,FALSE,2
Paraguay,New Zealand,Friendly,Santiago,Chile,TRUE,2
Kenya,Uganda,Friendly,Nairobi,Kenya,FALSE,2
Ivory Coast,Liberia,Friendly,Abidjan,Ivory Coast,FALSE,2
Rwanda,Uganda,Friendly,Kigali,Rwanda,FALSE,0
Costa Rica,Curaçao,CCCF Championship,Havana,Cuba,TRUE,2
Belgium,Serbia,UEFA Euro qualification,Brussels,Belgium,FALSE,2
Hong Kong,Thailand,Friendly,Victoria,Hong Kong,FALSE,2
Algeria,Mauritania,Friendly,Blida,Algeria,FALSE,2
Jordan,Zimbabwe,Friendly,Amman,Jordan,FALSE,2
Myanmar,Thailand,Korea Cup,Seoul,South Korea,TRUE,2
Cayman Islands,Martinique,CFU Caribbean Cup qualification,Philipsburg,Sint Maarten,TRUE,1
Fiji,New Zealand,Friendly,Nadi,Fiji,FALSE,1
Georgia,Ukraine,Friendly,Tbilisi,Georgia,FALSE,0
Yugoslavia,Sweden,Friendly,Split,Yugoslavia,FALSE,2
Aruba,Curaçao,Friendly,Oranjestad,Aruba,FALSE,1
Thailand,Nepal,Friendly,Bangkok,Thailand,FALSE,2
Wales,England,British Home Championship,Wrexham,Wales,FALSE,1
Congo,Guinea,Friendly,Brazzaville,Congo,FALSE,0
Canada,Portugal,Friendly,Toronto,Canada,FALSE,0
Jersey,Alderney,Muratti Vase,Jersey,Jersey,FALSE,2
Jamaica,Honduras,CONCACAF Nations League,Kingston,Jamaica,FALSE,2
Montenegro,Wales,Friendly,Podgorica,Montenegro,FALSE,2
Haiti,Mexico,CONCACAF Championship,Tegucigalpa,Honduras,TRUE,1
Turkey,Austria,UEFA Euro qualification,Istanbul,Turkey,FALSE,2
Sri Lanka,China PR,Friendly,Colombo,Sri Lanka,FALSE,1
Colombia,Egypt,Friendly,Bergamo,Italy,TRUE,0
Poland,Sweden,FIFA World Cup qualification,Chorzów,Poland,FALSE,1
Luxembourg,Faroe Islands,UEFA Nations League,Luxembourg,Luxembourg,FALSE,0
Bahrain,Kuwait,Friendly,Manama,Bahrain,FALSE,2
Saint Vincent and the Grenadines,Grenada,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,FALSE,2
Sweden,Paraguay,Friendly,Solna,Sweden,FALSE,1
Belarus,United Arab Emirates,Friendly,Fürth,Germany,TRUE,1
Poland,Romania,Friendly,Warsaw,Poland,FALSE,2
Liberia,Senegal,African Cup of Nations qualification,Monrovia,Liberia,FALSE,0
Yemen,North Korea,Friendly,Sana'a,Yemen,FALSE,0
Tahiti,Tonga,Oceania Nations Cup qualification,Avarua,Cook Islands,TRUE,2
Spain,Republic of Ireland,UEFA Euro qualification,Valencia,Spain,FALSE,2
United Arab Emirates,Lebanon,Friendly,Al Ain,United Arab Emirates,FALSE,2
Turkey,Georgia,FIFA World Cup qualification,Trabzon,Turkey,FALSE,0
Antigua and Barbuda,Curaçao,FIFA World Cup qualification,St. John's,Antigua and Barbuda,FALSE,2
Poland,Finland,Friendly,Warsaw,Poland,FALSE,2
Costa Rica,Canada,Gold Cup,Houston,United States,TRUE,0
Trinidad and Tobago,Jamaica,Friendly,Macoya,Trinidad and Tobago,FALSE,0
Kenya,Zanzibar,Friendly,Kampala,Uganda,TRUE,2
Ghana,Tunisia,Friendly,Accra,Ghana,FALSE,2
Nigeria,Senegal,Friendly,Kumasi,Ghana,TRUE,2
Ethiopia,Guyana,Friendly,Leesburg,United States,TRUE,2
Guernsey,Frøya,Island Games,Jomala,Sweden,TRUE,2
Andorra,Grenada,Friendly,Andorra la Vella,Andorra,FALSE,2
Chile,France,FIFA World Cup,Montevideo,Uruguay,TRUE,2
Yugoslavia,Romania,Friendly,Belgrade,Yugoslavia,FALSE,1
Ghana,Uganda,FIFA World Cup qualification,Kumasi,Ghana,FALSE,2
Paraguay,Uruguay,Atlantic Cup,Asunción,Paraguay,FALSE,2
Morocco,Gambia,African Cup of Nations qualification,Rabat,Morocco,FALSE,2
Macau,Nepal,FIFA World Cup qualification,Almaty,Kazakhstan,TRUE,1
Trinidad and Tobago,Guyana,Friendly,Port of Spain,Trinidad and Tobago,FALSE,0
Jordan,Syria,Prime Minister's Cup,Riffa,Bahrain,TRUE,2
Thailand,Lebanon,AFC Asian Cup qualification,Bangkok,Thailand,FALSE,1
Egypt,Guinea,Friendly,Cairo,Egypt,FALSE,0
New Zealand,Tahiti,Oceania Nations Cup,Auckland,New Zealand,FALSE,2
Portugal,Cyprus,UEFA Euro qualification,Guimarães,Portugal,FALSE,0
Madagascar,Réunion,Friendly,Antananarivo,Madagascar,FALSE,2
Frøya,Greenland,Island Games,Hemse,Sweden,TRUE,0
Norway,Republic of Ireland,Friendly,Oslo,Norway,FALSE,1
Singapore,Yemen,FIFA World Cup qualification,Kallang,Singapore,FALSE,0
China PR,Syria,Friendly,Kunming,China PR,FALSE,2
Japan,Argentina,Friendly,Saitama,Japan,FALSE,2
Poland,Belarus,Friendly,Grodzisk Wielkopolski,Poland,FALSE,1
Sudan,Kenya,African Cup of Nations qualification,Khartoum,Sudan,FALSE,2
Qatar,Myanmar,Asian Games,Miyoshi,Japan,TRUE,0
Qatar,Finland,Friendly,Doha,Qatar,FALSE,2
United States,Guatemala,USA Cup,Los Angeles,United States,FALSE,2
England,Republic of Ireland,Friendly,London,England,FALSE,2
São Tomé and Príncipe,Gabon,African Cup of Nations qualification,São Tomé,São Tomé and Príncipe,FALSE,0
Gabon,Angola,African Cup of Nations qualification,Franceville,Gabon,FALSE,2
Haiti,Honduras,FIFA World Cup qualification,Port-au-Prince,Haiti,FALSE,1
Zambia,Zimbabwe,CECAFA Cup,Blantyre,Malawi,TRUE,0
Sudan,Rwanda,CECAFA Cup,Machakos,Kenya,TRUE,2
